-DOCSTART- -X- -X- O

Правительство NOUN B-NP B-Org
Японии PROPN I-NP I-Org
выразило VERB B-VP O
решительный ADJ B-NP O
протест NOUN I-NP O
против ADP I-NP O
состоявшегося VERB B-VP O
в ADP B-NP O
пятницу NOUN I-NP O
визита NOUN I-NP O
российского ADJ I-NP O
министра NOUN I-NP O
обороны NOUN I-NP O
, PUNCT B-VP O
посетившего VERB I-VP O
южные ADJ B-NP B-Location
Курильские ADJ I-NP I-Location
острова NOUN I-NP I-Location
, PUNCT B-VP O
которые PRON I-VP O
и PART I-VP O
Япония PROPN I-VP B-LocOrg
, PUNCT I-VP O
и CCONJ I-VP O
Россия PROPN I-VP B-LocOrg
считают VERB I-VP O
своими DET I-VP O
. PUNCT I-VP O

Четыре NUM B-NP O
острова NOUN I-NP O
, PUNCT B-VP O
которые PRON I-VP O
называются VERB I-VP O
Южными ADJ B-NP B-Location
Курилами PROPN B-VP I-Location
, PUNCT I-VP O
и CCONJ I-VP O
которые PRON I-VP O
японцы NOUN B-NP O
называют VERB B-VP O
Северными ADJ I-VP B-Location
территориями NOUN B-NP I-Location
, PUNCT B-VP O
отошли VERB I-VP O
к ADP I-VP O
Советскому ADJ I-VP B-LocOrg
Союзу PROPN I-VP O
после ADP B-NP O
Второй ADJ I-NP O
мировой ADJ I-NP O
войны NOUN I-NP O
. PUNCT B-VP O

Территориальный ADJ B-NP O
спор NOUN I-NP O
вокруг ADP I-NP O
этих DET I-NP O
островов NOUN I-NP O
до ADP I-NP O
сих DET I-NP O
пор NOUN I-NP O
, PUNCT I-NP O
через ADP I-NP O
65 NUM I-NP O
лет NOUN I-NP O
после ADP I-NP O
окончания NOUN I-NP O
военных ADJ I-NP O
действий NOUN I-NP O
, PUNCT I-NP O
не PART B-VP O
дает VERB I-VP O
двум NUM B-NP O
странам NOUN I-NP O
заключить VERB B-VP O
мирное ADJ B-NP O
соглашение NOUN I-NP O
. PUNCT B-VP O

Премьер-министр NOUN B-NP O
