-DOCSTART- -X- -X- O

Сегодня ADV B-VP O
в ADP I-VP O
Москве PROPN I-VP B-Location
на ADP B-NP O
40-й ADJ I-NP O
день NOUN I-NP O
после ADP I-NP O
смерти NOUN I-NP O
Егора PROPN I-NP B-Person
Свиридова PROPN I-NP I-Person
прошли VERB B-VP O
посвященные VERB I-VP O
ему PRON I-VP O
акции NOUN B-NP O
памяти NOUN I-NP O
. PUNCT B-VP O

К ADP B-VP O
Кронштадтскому ADJ I-VP B-Location
бульвару NOUN B-NP I-Location
, PUNCT I-NP O
где ADV I-NP O
болельщика NOUN I-NP O
« PROPN I-NP O
Спартака PROPN I-NP B-Org
» PROPN I-NP O
Егора PROPN I-NP B-Person
Свиридова PROPN B-VP I-Person
убили VERB I-VP O
в ADP B-NP O
драке NOUN I-NP O
между ADP I-NP O
славянами NOUN I-NP O
и CCONJ I-NP O
кавказцами NOUN I-NP O
, PUNCT B-VP O
пришли VERB I-VP O
возложить VERB I-VP O
цветы NOUN B-NP O
десятки NOUN I-NP O
людей NOUN I-NP O
, PUNCT B-VP O
особенно ADV B-NP O
молодых ADJ I-NP O
, PUNCT I-NP O
– ADJ I-NP O
преимущественно ADV I-NP O
ультраправые ADJ I-NP O
и CCONJ I-NP O
футбольные ADJ I-NP O
болельщики NOUN I-NP O
. PUNCT B-VP O

И CCONJ B-NP O
тишина NOUN I-NP O
... PROPN B-VP O
Все PRON I-VP O
прошло VERB I-VP O
мирно ADV I-VP O
и CCONJ B-NP O
не PART I-NP O
столь ADV I-NP O
массово ADV I-NP O
. PUNCT I-NP O

Правда ADV B-NP O
, PUNCT I-NP O
были AUX I-NP O
задержания NOUN I-NP O
, PUNCT I-NP O
но CCONJ I-NP O
, PUNCT I-NP O
как SCONJ B-VP O
пояснили VERB I-VP O
в ADP B-NP O
милиции NOUN I-NP O
, PUNCT B-VP O
профилактические ADJ B-NP O
. PUNCT I-NP O

Одним NUM B-NP O
словом NOUN I-NP O
, PUNCT I-NP O
очередной ADJ I-NP O
« NOUN I-NP O
Русский ADJ I-NP O
марш NOUN I-NP O
» PROPN I-NP O
не PART B-VP O
состоялся VERB I-VP O
. PUNCT I-VP O

Впрочем ADV B-ROOT O
, PUNCT I-ROOT O
показательно ADV I-ROOT O
, PUNCT B-VP O
что SCONJ I-VP O
на ADP B-NP O
Манежной ADJ I-NP B-Location
площади NOUN I-NP I-Location
